TaskID,Type,Start(ms),End(ms)
33,CPU,2368,2368
32,CPU,2266,2266
31,CPU,2159,2266
30,CPU,2158,2159
29,CPU,2052,2158
28,CPU,1944,2052
27,CPU,1838,1944
26,CPU,1837,1838
25,CPU,1605,1711
18,CPU,1605,1605
19,CPU,1499,1605
20,CPU,1498,1499
21,CPU,1393,1498
22,CPU,1287,1393
23,CPU,1287,1287
24,CPU,1287,1287
17,CPU,1179,1287
9,CPU,1071,1179
11,CPU,965,1071
12,CPU,965,965
13,CPU,857,965
14,CPU,751,857
15,CPU,750,751
16,CPU,643,750
10,CPU,537,643
8,CPU,430,537
7,CPU,430,430
6,CPU,324,430
5,CPU,323,324
4,CPU,216,323
3,CPU,110,216
2,CPU,110,110
1,CPU,0,110
33,DPU,2368,2368
32,DPU,2214,2367
31,DPU,2179,2214
30,DPU,2050,2178
29,DPU,2045,2050
28,DPU,2038,2044
27,DPU,2010,2038
26,DPU,1840,2009
25,DPU,1837,1840
18,DPU,1715,1837
19,DPU,1714,1715
20,DPU,1577,1714
21,DPU,1570,1577
22,DPU,1513,1570
23,DPU,1380,1512
24,DPU,1215,1380
17,DPU,1179,1215
9,DPU,950,957
11,DPU,928,950
12,DPU,752,927
13,DPU,748,752
14,DPU,737,748
15,DPU,553,737
16,DPU,537,553
10,DPU,521,527
8,DPU,505,521
7,DPU,325,505
6,DPU,322,325
5,DPU,172,321
4,DPU,152,170
3,DPU,137,151
2,DPU,1,137
1,DPU,0,1
33,MAP,2368,2368
32,MAP,2368,2368
31,MAP,2266,2266
30,MAP,2179,2179
29,MAP,2158,2158
28,MAP,2052,2052
27,MAP,2038,2038
26,MAP,2020,2020
25,MAP,1840,1840
18,MAP,1837,1837
19,MAP,1715,1715
20,MAP,1714,1714
21,MAP,1577,1577
22,MAP,1570,1570
23,MAP,1513,1513
24,MAP,1380,1380
17,MAP,1287,1287
9,MAP,1179,1179
11,MAP,1071,1071
12,MAP,965,965
13,MAP,965,965
14,MAP,857,857
15,MAP,751,751
16,MAP,750,750
10,MAP,643,643
8,MAP,537,537
7,MAP,505,505
6,MAP,430,430
5,MAP,324,324
4,MAP,323,323
3,MAP,216,216
2,MAP,137,137
1,MAP,110,110
33,REDUCE,2368,2368
32,REDUCE,2368,2368
31,REDUCE,2214,2214
30,REDUCE,2179,2179
29,REDUCE,2050,2050
28,REDUCE,2045,2045
27,REDUCE,2038,2038
26,REDUCE,2020,2020
25,REDUCE,1840,1840
18,REDUCE,1837,1837
19,REDUCE,1715,1715
20,REDUCE,1714,1714
21,REDUCE,1577,1577
22,REDUCE,1570,1570
23,REDUCE,1514,1514
24,REDUCE,1380,1380
17,REDUCE,1216,1216
9,REDUCE,957,957
11,REDUCE,950,950
12,REDUCE,930,930
13,REDUCE,752,752
14,REDUCE,748,748
15,REDUCE,737,737
16,REDUCE,553,553
10,REDUCE,527,527
8,REDUCE,521,521
7,REDUCE,505,505
6,REDUCE,325,325
5,REDUCE,322,322
4,REDUCE,171,171
3,REDUCE,155,155
2,REDUCE,137,137
1,REDUCE,1,1
